id,field,pv,value
0,beam_current,SR-DI-DCCT-01:SIGNAL,300
0,feedback_status,CS-CS-MSTAT-01:FBSTAT,0
3,enabled,SR01C-DI-EBPM-01:CF:ENABLED_S,1
3,x_fofb_disabled,SR01C-PC-HBPM-01:FAST:DISABLED,0
3,x_sofb_disabled,SR01C-PC-HBPM-01:SLOW:DISABLED,0
3,y_fofb_disabled,SR01C-PC-VBPM-01:FAST:DISABLED,0
3,y_sofb_disabled,SR01C-PC-VBPM-01:SLOW:DISABLED,0
8,error_sum,SR01A-PC-HSTR-01:ERCSUM,0
8,state,SR01A-PC-HSTR-01:STATE,2
8,h_fofb_disabled,SR01A-PC-HSTR-01:FAST:DISABLED,0
8,h_sofb_disabled,SR01A-PC-HSTR-01:SLOW:DISABLED,0
8,error_sum,SR01A-PC-VSTR-01:ERCSUM,0
8,state,SR01A-PC-VSTR-01:STATE,2
8,v_fofb_disabled,SR01A-PC-VSTR-01:FAST:DISABLED,0
8,v_sofb_disabled,SR01A-PC-VSTR-01:SLOW:DISABLED,0
16,error_sum,SR01A-PC-HSTR-02:ERCSUM,0
16,state,SR01A-PC-HSTR-02:STATE,2
16,h_fofb_disabled,SR01A-PC-HSTR-02:FAST:DISABLED,0
16,h_sofb_disabled,SR01A-PC-HSTR-02:SLOW:DISABLED,0
16,error_sum,SR01A-PC-VSTR-02:ERCSUM,0
16,state,SR01A-PC-VSTR-02:STATE,2
16,v_fofb_disabled,SR01A-PC-VSTR-02:FAST:DISABLED,0
16,v_sofb_disabled,SR01A-PC-VSTR-02:SLOW:DISABLED,0
19,enabled,SR01C-DI-EBPM-02:CF:ENABLED_S,1
19,x_fofb_disabled,SR01C-PC-HBPM-02:FAST:DISABLED,0
19,x_sofb_disabled,SR01C-PC-HBPM-02:SLOW:DISABLED,0
19,y_fofb_disabled,SR01C-PC-VBPM-02:FAST:DISABLED,0
19,y_sofb_disabled,SR01C-PC-VBPM-02:SLOW:DISABLED,0
25,enabled,SR01C-DI-EBPM-03:CF:ENABLED_S,1
25,x_fofb_disabled,SR01C-PC-HBPM-03:FAST:DISABLED,0
25,x_sofb_disabled,SR01C-PC-HBPM-03:SLOW:DISABLED,0
25,y_fofb_disabled,SR01C-PC-VBPM-03:FAST:DISABLED,0
25,y_sofb_disabled,SR01C-PC-VBPM-03:SLOW:DISABLED,0
28,error_sum,SR01A-PC-HSTR-03:ERCSUM,0
28,state,SR01A-PC-HSTR-03:STATE,2
28,h_fofb_disabled,SR01A-PC-HSTR-03:FAST:DISABLED,0
28,h_sofb_disabled,SR01A-PC-HSTR-03:SLOW:DISABLED,0
28,error_sum,SR01A-PC-VSTR-03:ERCSUM,0
28,state,SR01A-PC-VSTR-03:STATE,2
28,v_fofb_disabled,SR01A-PC-VSTR-03:FAST:DISABLED,0
28,v_sofb_disabled,SR01A-PC-VSTR-03:SLOW:DISABLED,0
33,enabled,SR01C-DI-EBPM-04:CF:ENABLED_S,1
33,x_fofb_disabled,SR01C-PC-HBPM-04:FAST:DISABLED,0
33,x_sofb_disabled,SR01C-PC-HBPM-04:SLOW:DISABLED,0
33,y_fofb_disabled,SR01C-PC-VBPM-04:FAST:DISABLED,0
33,y_sofb_disabled,SR01C-PC-VBPM-04:SLOW:DISABLED,0
36,error_sum,SR01A-PC-HSTR-04:ERCSUM,0
36,state,SR01A-PC-HSTR-04:STATE,2
36,h_fofb_disabled,SR01A-PC-HSTR-04:FAST:DISABLED,0
