index,field,pv,value,record_type
1,cell_01_excite_amps,SR01A-CS-FOFB-01:EXCITE:AMPS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
1,cell_01_excite_deltas,SR01A-CS-FOFB-01:EXCITE:DELTAS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
1,cell_01_excite_prime,SR01A-CS-FOFB-01:EXCITE:PRIME,0,ao
1,cell_01_excite_start_times,SR01A-CS-FOFB-01:EXCITE:START_TIMES,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
1,cell_01_excite_ticks,SR01A-CS-FOFB-01:EXCITE:TICKS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
2,cell_02_excite_amps,SR02A-CS-FOFB-01:EXCITE:AMPS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
2,cell_02_excite_deltas,SR02A-CS-FOFB-01:EXCITE:DELTAS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
2,cell_02_excite_prime,SR02A-CS-FOFB-01:EXCITE:PRIME,0,ao
2,cell_02_excite_start_times,SR02A-CS-FOFB-01:EXCITE:START_TIMES,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
2,cell_02_excite_ticks,SR02A-CS-FOFB-01:EXCITE:TICKS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
3,bba_offset_x,SR01C-DI-EBPM-01:CF:BBA_X_S,0,ao
3,bba_offset_y,SR01C-DI-EBPM-01:CF:BBA_Y_S,0,ao
3,bcd_offset_x,SR01C-DI-EBPM-01:CF:BCD_X_S,0,ao
3,bcd_offset_y,SR01C-DI-EBPM-01:CF:BCD_Y_S,0,ao
3,cell_03_excite_amps,SR03A-CS-FOFB-01:EXCITE:AMPS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
3,cell_03_excite_deltas,SR03A-CS-FOFB-01:EXCITE:DELTAS,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],wfm
3,cell_03_excite_prime,SR03A-CS-FOFB-01:EXCITE:PRIME,0,ao
