index,field,pv,value,record_type
0,beam_current,SR-DI-DCCT-01:SIGNAL,300,ai
0,bpm_id,SR-DI-EBPM-01:BPMID,[1.1 1.2 1.3 1.4 1.5 1.6 1.7 2.1 2.2 2.3 2.4 2.5 2.6 2.7 2.8 3.1 3.2 3.3 3.4 3.5 3.6 3.7 4.1 4.2 4.3 4.4 4.5 4.6 4.7 5.1 5.2 5.3 5.4 5.5 5.6 5.7 6.1 6.2 6.3 6.4 6.5 6.6 6.7 7.1 7.2 7.3 7.4 7.5 7.6 7.7 8.1 8.2 8.3 8.4 8.5 8.6 8.7 9.1 9.2 9.1 9.2 9.3 9.4 9.5 9.6 9.7 10.1 10.2 10.3 10.4 10.5 10.6 10.7 11.1 11.2 11.3 11.4 11.5 11.6 11.7 12.1 12.2 12.3 12.4 12.5 12.6 12.7 13.1 13.2 13.1 13.2 13.3 13.4 13.5 13.6 13.7 14.1 14.2 14.3 14.4 14.5 14.6 14.7 15.1 15.2 15.3 15.4 15.5 15.6 15.7 16.1 16.2 16.3 16.4 16.5 16.6 16.7 17.1 17.2 17.3 17.4 17.5 17.6 17.7 18.1 18.2 18.3 18.4 18.5 18.6 18.7 19.1 19.2 19.3 19.4 19.5 19.6 19.7 20.1 20.2 20.3 20.4 20.5 20.6 20.7 21.1 21.2 21.3 21.4 21.5 21.6 21.7 22.1 22.2 22.3 22.4 22.5 22.6 22.7 23.1 23.2 23.3 23.4 23.5 23.6 23.7 24.1 24.2 24.3 24.4 24.5 24.6 24.7],wfm
0,feedback_heart,CS-CS-MSTAT-01:FBHEART,10,ao
0,feedback_status,CS-CS-MSTAT-01:FBSTAT,2,ai
0,fofb_status,SR01A-CS-FOFB-01:RUN,0,ao
3,enabled,SR01C-DI-EBPM-01:CF:ENABLED_S,1,ai
5,offset,SR01A-PC-Q1D-01:OFFSET1,0,ai
8,error_sum,SR01A-PC-HSTR-01:ERCSUM,0,ai
8,error_sum,SR01A-PC-VSTR-01:ERCSUM,0,ai
8,state,SR01A-PC-HSTR-01:STATE,2,ai
8,state,SR01A-PC-VSTR-01:STATE,2,ai
11,offset,SR01A-PC-Q2D-02:OFFSET1,0,ai
13,offset,SR01A-PC-Q3D-03:OFFSET1,0,ai
16,error_sum,SR01A-PC-HSTR-02:ERCSUM,0,ai
16,error_sum,SR01A-PC-VSTR-02:ERCSUM,0,ai
16,state,SR01A-PC-HSTR-02:STATE,2,ai
16,state,SR01A-PC-VSTR-02:STATE,2,ai
19,enabled,SR01C-DI-EBPM-02:CF:ENABLED_S,1,ai
25,enabled,SR01C-DI-EBPM-03:CF:ENABLED_S,1,ai
28,error_sum,SR01A-PC-HSTR-03:ERCSUM,0,ai
28,error_sum,SR01A-PC-VSTR-03:ERCSUM,0,ai
28,state,SR01A-PC-HSTR-03:STATE,2,ai
28,state,SR01A-PC-VSTR-03:STATE,2,ai
33,enabled,SR01C-DI-EBPM-04:CF:ENABLED_S,1,ai
36,error_sum,SR01A-PC-HSTR-04:ERCSUM,0,ai
36,error_sum,SR01A-PC-VSTR-04:ERCSUM,0,ai
36,state,SR01A-PC-HSTR-04:STATE,2,ai
36,state,SR01A-PC-VSTR-04:STATE,2,ai
42,error_sum,SR01A-PC-HSTR-05:ERCSUM,0,ai
42,error_sum,SR01A-PC-VSTR-05:ERCSUM,0,ai
42,state,SR01A-PC-HSTR-05:STATE,2,ai
42,state,SR01A-PC-VSTR-05:STATE,2,ai
47,enabled,SR01C-DI-EBPM-05:CF:ENABLED_S,1,ai
