pv,upper,lower,precision,drive high,drive low
LI-RF-MOSC-01:FREQ,500000000,499000000,1,500000000,499000000
LI-RF-MOSC-01:FREQ_SET,0,0,1,499687000,499677000
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:I,1400,10,3,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR-PC-DIPOL-01:SETI,0,0,4,1400,10
SR01A-PC-HSTR-01:I,5,-5,3,5,-5
SR01A-PC-HSTR-01:SETI,0,0,4,5,-5
SR01A-PC-HSTR-02:I,5,-5,3,5,-5
SR01A-PC-HSTR-02:SETI,0,0,4,5,-5
SR01A-PC-HSTR-03:I,5,-5,3,5,-5
SR01A-PC-HSTR-03:SETI,0,0,4,5,-5
SR01A-PC-HSTR-04:I,5,-5,3,5,-5
SR01A-PC-HSTR-04:SETI,0,0,4,5,-5
SR01A-PC-HSTR-05:I,5,-5,3,5,-5
SR01A-PC-HSTR-05:SETI,0,0,4,5,-5
SR01A-PC-HSTR-06:I,5,-5,3,5,-5
SR01A-PC-HSTR-06:SETI,0,0,4,5,-5
SR01A-PC-HSTR-07:I,5,-5,3,5,-5
SR01A-PC-HSTR-07:SETI,0,0,4,5,-5
SR01A-PC-Q1AB-06:I,200,0,3,200,0
SR01A-PC-Q1AB-06:SETI,0,0,4,200,0
SR01A-PC-Q1AD-05:I,200,0,3,200,0
SR01A-PC-Q1AD-05:SETI,0,0,4,200,0
SR01A-PC-Q1B-10:I,200,0,3,200,0
SR01A-PC-Q1B-10:SETI,0,0,4,200,0
SR01A-PC-Q1D-01:I,200,0,3,200,0
SR01A-PC-Q1D-01:SETI,0,0,4,200,0
SR01A-PC-Q2AB-07:I,200,0,3,200,0
SR01A-PC-Q2AB-07:SETI,0,0,4,200,0
SR01A-PC-Q2AD-04:I,200,0,3,200,0
SR01A-PC-Q2AD-04:SETI,0,0,4,200,0
SR01A-PC-Q2B-09:I,200,0,3,200,0
SR01A-PC-Q2B-09:SETI,0,0,4,200,0
SR01A-PC-Q2D-02:I,200,0,3,200,0
SR01A-PC-Q2D-02:SETI,0,0,4,200,0
SR01A-PC-Q3B-08:I,200,0,3,200,0
SR01A-PC-Q3B-08:SETI,0,0,4,200,0
SR01A-PC-Q3D-03:I,200,0,3,200,0
SR01A-PC-Q3D-03:SETI,0,0,4,200,0
SR01A-PC-S1A-04:I,110,0,3,110,0
SR01A-PC-S1A-04:SETI,0,0,4,110,0
SR01A-PC-S1C-07:I,100,0,3,100,0
SR01A-PC-S1C-07:SETI,0,0,4,100,0
SR01A-PC-S1D-01:I,100,0,3,100,0
SR01A-PC-S1D-01:SETI,0,0,4,100,0
SR01A-PC-S2A-03:I,100,0,3,100,0
SR01A-PC-S2A-03:SETI,0,0,4,100,0
SR01A-PC-S2A-05:I,100,0,3,100,0
SR01A-PC-S2A-05:SETI,0,0,4,100,0
SR01A-PC-S2C-06:I,100,0,3,100,0
SR01A-PC-S2C-06:SETI,0,0,4,100,0
SR01A-PC-S2D-02:I,100,0,3,100,0
SR01A-PC-S2D-02:SETI,0,0,4,100,0
SR01A-PC-SQUAD-01:I,5,-5,3,5,-5
SR01A-PC-SQUAD-01:SETI,0,0,4,5,-5
SR01A-PC-SQUAD-02:I,5,-5,3,5,-5
SR01A-PC-SQUAD-02:SETI,0,0,4,5,-5
SR01A-PC-SQUAD-03:I,5,-5,3,5,-5
SR01A-PC-SQUAD-03:SETI,0,0,4,5,-5
SR01A-PC-SQUAD-04:I,5,-5,3,5,-5
SR01A-PC-SQUAD-04:SETI,0,0,4,5,-5
SR01A-PC-VSTR-01:I,5,-5,3,5,-5
SR01A-PC-VSTR-01:SETI,0,0,4,5,-5
SR01A-PC-VSTR-02:I,5,-5,3,5,-5
SR01A-PC-VSTR-02:SETI,0,0,4,5,-5
SR01A-PC-VSTR-03:I,5,-5,3,5,-5
SR01A-PC-VSTR-03:SETI,0,0,4,5,-5
SR01A-PC-VSTR-04:I,5,-5,3,5,-5
SR01A-PC-VSTR-04:SETI,0,0,4,5,-5
SR01A-PC-VSTR-05:I,5,-5,3,5,-5
SR01A-PC-VSTR-05:SETI,0,0,4,5,-5
SR01A-PC-VSTR-06:I,5,-5,3,5,-5
SR01A-PC-VSTR-06:SETI,0,0,4,5,-5
SR01A-PC-VSTR-07:I,5,-5,3,5,-5
SR01A-PC-VSTR-07:SETI,0,0,4,5,-5
SR01C-DI-EBPM-01:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-01:SA:Y,10,-10,4,10,-10
SR01C-DI-EBPM-02:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-02:SA:Y,10,-10,4,10,-10
SR01C-DI-EBPM-03:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-03:SA:Y,10,-10,4,10,-10
SR01C-DI-EBPM-04:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-04:SA:Y,10,-10,4,10,-10
SR01C-DI-EBPM-05:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-05:SA:Y,10,-10,4,10,-10
SR01C-DI-EBPM-06:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-06:SA:Y,10,-10,4,10,-10
SR01C-DI-EBPM-07:SA:X,10,-10,4,10,-10
SR01C-DI-EBPM-07:SA:Y,10,-10,4,10,-10
SR02A-PC-HSCOR-01:I,4,-4,3,4,-4
SR02A-PC-HSCOR-01:SETI,0,0,4,4,-4
SR02A-PC-HSCOR-02:I,4,-4,3,4,-4
SR02A-PC-HSCOR-02:SETI,0,0,4,4,-4
SR02A-PC-HSTR-01:I,5,-5,3,5,-5
SR02A-PC-HSTR-01:SETI,0,0,4,5,-5
SR02A-PC-HSTR-04:I,5,-5,3,5,-5
SR02A-PC-HSTR-04:SETI,0,0,4,5,-5
SR02A-PC-HSTR-05:I,5,-5,3,5,-5
SR02A-PC-HSTR-05:SETI,0,0,4,5,-5
SR02A-PC-HSTR-07:I,5,-5,3,5,-5
SR02A-PC-HSTR-07:SETI,0,0,4,5,-5
SR02A-PC-HSTR-08:I,5,-5,3,5,-5
SR02A-PC-HSTR-08:SETI,0,0,4,5,-5
SR02A-PC-HSTR-10:I,5,-5,3,5,-5
SR02A-PC-HSTR-10:SETI,0,0,4,5,-5
SR02A-PC-Q1BE-01:I,200,0,3,200,0
SR02A-PC-Q1BE-01:SETI,0,0,4,200,0
SR02A-PC-Q1BE-10:I,200,0,3,200,0
SR02A-PC-Q1BE-10:SETI,0,0,4,200,0
SR02A-PC-Q2BE-02:I,200,0,3,200,0
SR02A-PC-Q2BE-02:SETI,0,0,4,200,0
SR02A-PC-Q2BE-09:I,200,0,3,200,0
SR02A-PC-Q2BE-09:SETI,0,0,4,200,0
SR02A-PC-Q3E-03:I,200,0,3,200,0
SR02A-PC-Q3E-03:SETI,0,0,4,200,0
SR02A-PC-Q3E-04:I,200,0,3,200,0
SR02A-PC-Q3E-04:SETI,0,0,4,200,0
SR02A-PC-Q3E-07:I,200,0,3,200,0
SR02A-PC-Q3E-07:SETI,0,0,4,200,0
SR02A-PC-Q3E-08:I,200,0,3,200,0
SR02A-PC-Q3E-08:SETI,0,0,4,200,0
SR02A-PC-Q4E-05:I,200,0,3,200,0
SR02A-PC-Q4E-05:SETI,0,0,4,200,0
SR02A-PC-Q4E-06:I,200,0,3,200,0
SR02A-PC-Q4E-06:SETI,0,0,4,200,0
SR02A-PC-S1BE-01:I,100,0,3,100,0
SR02A-PC-S1BE-01:SETI,0,0,4,100,0
SR02A-PC-S1BE-10:I,100,0,3,100,0
SR02A-PC-S1BE-10:SETI,0,0,4,100,0
SR02A-PC-S2BE-02:I,100,0,3,100,0
SR02A-PC-S2BE-02:SETI,0,0,4,100,0
SR02A-PC-S2BE-09:I,100,0,3,100,0
SR02A-PC-S2BE-09:SETI,0,0,4,100,0
SR02A-PC-S3E-03:I,100,0,3,100,0
SR02A-PC-S3E-03:SETI,0,0,4,100,0
SR02A-PC-S3E-05:I,100,0,3,100,0
SR02A-PC-S3E-05:SETI,0,0,4,100,0
SR02A-PC-S3E-06:I,100,0,3,100,0
SR02A-PC-S3E-06:SETI,0,0,4,100,0
SR02A-PC-S3E-08:I,100,0,3,100,0
SR02A-PC-S3E-08:SETI,0,0,4,100,0
SR02A-PC-S4E-04:I,100,0,3,100,0
SR02A-PC-S4E-04:SETI,0,0,4,100,0
SR02A-PC-S4E-07:I,100,0,3,100,0
SR02A-PC-S4E-07:SETI,0,0,4,100,0
SR02A-PC-SQUAD-01:I,5,-5,3,5,-5
SR02A-PC-SQUAD-01:SETI,0,0,4,5,-5
SR02A-PC-SQUAD-02:I,5,-5,3,5,-5
SR02A-PC-SQUAD-02:SETI,0,0,4,5,-5
SR02A-PC-SQUAD-03:I,5,-5,3,5,-5
SR02A-PC-SQUAD-03:SETI,0,0,4,5,-5
SR02A-PC-SQUAD-04:I,5,-5,3,5,-5
SR02A-PC-SQUAD-04:SETI,0,0,4,5,-5
SR02A-PC-SQUAD-05:I,5,-5,3,5,-5
SR02A-PC-SQUAD-05:SETI,0,0,4,5,-5
SR02A-PC-SQUAD-06:I,5,-5,3,5,-5
SR02A-PC-SQUAD-06:SETI,0,0,4,5,-5
SR02A-PC-VSCOR-01:I,5,-5,3,5,-5
SR02A-PC-VSCOR-01:SETI,0,0,4,5,-5
SR02A-PC-VSCOR-02:I,4,-4,3,4,-4
SR02A-PC-VSCOR-02:SETI,0,0,4,4,-4
SR02A-PC-VSTR-01:I,5,-5,3,5,-5
SR02A-PC-VSTR-01:SETI,0,0,4,5,-5
SR02A-PC-VSTR-04:I,5,-5,3,5,-5
SR02A-PC-VSTR-04:SETI,0,0,4,5,-5
SR02A-PC-VSTR-05:I,5,-5,3,5,-5
SR02A-PC-VSTR-05:SETI,0,0,4,5,-5
SR02A-PC-VSTR-07:I,5,-5,3,5,-5
SR02A-PC-VSTR-07:SETI,0,0,4,5,-5
SR02A-PC-VSTR-08:I,5,-5,3,5,-5
SR02A-PC-VSTR-08:SETI,0,0,4,5,-5
SR02A-PC-VSTR-10:I,5,-5,3,5,-5
SR02A-PC-VSTR-10:SETI,0,0,4,5,-5
SR02C-DI-EBPM-01:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-01:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-02:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-02:SA:Y,10,-10,4,10,-10
SR02C-DI-EBPM-03:SA:X,10,-10,4,10,-10
SR02C-DI-EBPM-03:SA:Y,10,-10,4,10,-10
