set pv,offset,delta
SR01A-PC-Q1B-10:SETI,SR01A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:01Q1B10:I
SR01A-PC-Q1D-01:SETI,SR01A-PC-Q1D-01:OFFSET1,SR-CS-TFB-01:01Q1D01:I
SR01A-PC-Q2B-09:SETI,SR01A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:01Q2B09:I
SR01A-PC-Q2D-02:SETI,SR01A-PC-Q2D-02:OFFSET1,SR-CS-TFB-01:01Q2D02:I
SR01A-PC-Q3B-08:SETI,SR01A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:01Q3B08:I
SR01A-PC-Q3D-03:SETI,SR01A-PC-Q3D-03:OFFSET1,SR-CS-TFB-01:01Q3D03:I
SR03A-PC-Q1B-01:SETI,SR03A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:03Q1B01:I
SR03A-PC-Q1B-10:SETI,SR03A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:03Q1B10:I
SR03A-PC-Q2B-02:SETI,SR03A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:03Q2B02:I
SR03A-PC-Q2B-09:SETI,SR03A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:03Q2B09:I
SR03A-PC-Q3B-03:SETI,SR03A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:03Q3B03:I
SR03A-PC-Q3B-08:SETI,SR03A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:03Q3B08:I
SR04A-PC-Q1B-01:SETI,SR04A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:04Q1B01:I
SR04A-PC-Q1D-10:SETI,SR04A-PC-Q1D-10:OFFSET1,SR-CS-TFB-01:04Q1D10:I
SR04A-PC-Q2B-02:SETI,SR04A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:04Q2B02:I
SR04A-PC-Q2D-09:SETI,SR04A-PC-Q2D-09:OFFSET1,SR-CS-TFB-01:04Q2D09:I
SR04A-PC-Q3B-03:SETI,SR04A-PC-Q3B-03:OFFSET1,SR-CS-TFB-01:04Q3B03:I
SR04A-PC-Q3D-08:SETI,SR04A-PC-Q3D-08:OFFSET1,SR-CS-TFB-01:04Q3D08:I
SR05A-PC-Q1B-10:SETI,SR05A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:05Q1B10:I
SR05A-PC-Q1D-01:SETI,SR05A-PC-Q1D-01:OFFSET1,SR-CS-TFB-01:05Q1D01:I
SR05A-PC-Q2B-09:SETI,SR05A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:05Q2B09:I
SR05A-PC-Q2D-02:SETI,SR05A-PC-Q2D-02:OFFSET1,SR-CS-TFB-01:05Q2D02:I
SR05A-PC-Q3B-08:SETI,SR05A-PC-Q3B-08:OFFSET1,SR-CS-TFB-01:05Q3B08:I
SR05A-PC-Q3D-03:SETI,SR05A-PC-Q3D-03:OFFSET1,SR-CS-TFB-01:05Q3D03:I
SR06A-PC-Q1B-01:SETI,SR06A-PC-Q1B-01:OFFSET1,SR-CS-TFB-01:06Q1B01:I
SR06A-PC-Q1B-10:SETI,SR06A-PC-Q1B-10:OFFSET1,SR-CS-TFB-01:06Q1B10:I
SR06A-PC-Q2B-02:SETI,SR06A-PC-Q2B-02:OFFSET1,SR-CS-TFB-01:06Q2B02:I
SR06A-PC-Q2B-09:SETI,SR06A-PC-Q2B-09:OFFSET1,SR-CS-TFB-01:06Q2B09:I
