index,field,pv,value,read-only
0,beam_current,SR-DI-DCCT-01:SIGNAL,300,True
0,feedback_status,CS-CS-MSTAT-01:FBSTAT,2,True
0,fofb_status,SR01A-CS-FOFB-01:RUN,0,False
0,feedback_heart,CS-CS-MSTAT-01:FBHEART,10,False
8,error_sum,SR01A-PC-HSTR-01:ERCSUM,0,True
8,state,SR01A-PC-HSTR-01:STATE,2,True
16,error_sum,SR01A-PC-HSTR-02:ERCSUM,0,True
16,state,SR01A-PC-HSTR-02:STATE,2,True
28,error_sum,SR01A-PC-HSTR-03:ERCSUM,0,True
28,state,SR01A-PC-HSTR-03:STATE,2,True
36,error_sum,SR01A-PC-HSTR-04:ERCSUM,0,True
36,state,SR01A-PC-HSTR-04:STATE,2,True
42,error_sum,SR01A-PC-HSTR-05:ERCSUM,0,True
42,state,SR01A-PC-HSTR-05:STATE,2,True
52,error_sum,SR01A-PC-HSTR-06:ERCSUM,0,True
52,state,SR01A-PC-HSTR-06:STATE,2,True
62,error_sum,SR01A-PC-HSTR-07:ERCSUM,0,True
62,state,SR01A-PC-HSTR-07:STATE,2,True
101,error_sum,SR02A-PC-HSTR-01:ERCSUM,0,True
101,state,SR02A-PC-HSTR-01:STATE,2,True
126,error_sum,SR02A-PC-HSTR-04:ERCSUM,0,True
126,state,SR02A-PC-HSTR-04:STATE,2,True
130,error_sum,SR02A-PC-HSTR-05:ERCSUM,0,True
130,state,SR02A-PC-HSTR-05:STATE,2,True
139,error_sum,SR02A-PC-HSCOR-01:ERCSUM,0,True
139,state,SR02A-PC-HSCOR-01:STATE,2,True
165,error_sum,SR02A-PC-HSCOR-02:ERCSUM,0,True
165,state,SR02A-PC-HSCOR-02:STATE,2,True
185,error_sum,SR02A-PC-HSTR-07:ERCSUM,0,True
185,state,SR02A-PC-HSTR-07:STATE,2,True
189,error_sum,SR02A-PC-HSTR-08:ERCSUM,0,True
189,state,SR02A-PC-HSTR-08:STATE,2,True
208,error_sum,SR02A-PC-HSTR-10:ERCSUM,0,True
208,state,SR02A-PC-HSTR-10:STATE,2,True
251,error_sum,SR03A-PC-HSTR-01:ERCSUM,0,True
251,state,SR03A-PC-HSTR-01:STATE,2,True
259,error_sum,SR03A-PC-HSTR-02:ERCSUM,0,True
259,state,SR03A-PC-HSTR-02:STATE,2,True
271,error_sum,SR03A-PC-HSTR-03:ERCSUM,0,True
271,state,SR03A-PC-HSTR-03:STATE,2,True
279,error_sum,SR03A-PC-HSTR-04:ERCSUM,0,True
